GENDER	AGE	MEMBER POL. PARTY	INFO: PRESS	INFO: TV RADIO	INFO: POL. MEETING	INFO: PARTY PRESS	INFO: ELECT. PUBLICATION	INFO: CONVERSATION	INFO: NOT INTERESTED	STATE AND MASS MEDIA	RESULT INFLUEN.VOTING	WHICH PARTY LAST ELECT.
Female	37	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	Yes	HDZ
Female	21	Not a member	Yes	Yes	NA	Yes	NA	Yes	NA	The state should not intervene in th	No	HDZ
Male	24	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Male	48	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Male	54	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	Yes	HDZ
Male	18	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Male	41	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	34	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	I did not vote
Female	19	Not a member	No	Yes	No	No	No	Yes	Yes	The state should not intervene in th	No	I did not vote
Female	23	Not a member	No	Yes	No	No	No	Yes	No	The state should have limited influe	No	Other party:
Female	23	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	I did not vote
Female	37	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Female	18	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	I did not vote
Female	21	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	Yes	I did not vote
Female	47	Not a member	No	Yes	No	No	No	No	Yes	The state should have limited influe	No	HDZ
Male	29	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	39	HDZ	Yes	Yes	Yes	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	32	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Male	44	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have strong influen	No	HDZ
Female	48	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	88	HDZ	No	Yes	Yes	Yes	Yes	Yes	No	The state should have limited influe	No	HDZ
Male	32	Not a member	No	Yes	No	No	No	Yes	No	The state should have strong influen	No	HDZ
Female	26	Not a member	No	Yes	No	No	No	No	Yes	The state should have limited influe	No	I did not vote
Male	44	Not a member	No	Yes	No	No	No	Yes	Yes	The state should have strong influen	No	HSS
Male	28	Not a member	No	Yes	No	No	No	Yes	Yes	The state should not intervene in th	No	I did not vote
Male	27	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	No	HDZ
Female	34	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	25	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	I did not vote
Female	77	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	No	HDZ
Male	61	Not a member	No	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	48	HDZ	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	89	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Female	45	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	50	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	20	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	For the independent candidate
Male	29	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Male	30	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	For the independent candidate
Male	19	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	28	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	For the independent candidate
Female	45	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have strong influen	No	I did not vote
Male	50	Not a member	No	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	52	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	52	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	36	HKDS	Yes	Yes	Yes	Yes	NA	Yes	No	The state should have limited influe	No	Koalicija narodnog sporazuma  Hrvats
Female	68	Not a member	No	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	46	Not a member	No	Yes	No	No	No	No	No	The state should have strong influen	Yes	HDZ
Male	29	HDZ	No	Yes	No	No	No	No	No	The state should not intervene in th	Yes	HDZ
Male	43	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Female	18	Not a member	Yes	No	No	No	No	No	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	31	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Koalicija narodnog sporazuma  Hrvats
Male	42	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	Yes	HSS
Male	48	Not a member	NA	Yes	NA	NA	NA	NA	NA	The state should not intervene in th	No	I did not vote
Female	23	Not a member	No	No	Yes	No	Yes	Yes	No	The state should not intervene in th	Yes	I did not vote
Female	35	Not a member	No	No	Yes	Yes	Yes	No	Yes	The state should not intervene in th	No	HDZ
Male	61	Not a member	Yes	No	No	No	No	No	No	The state should have strong influen	No	I did not vote
Female	57	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Female	19	Not a member	No	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	40	Not a member	Yes	No	No	No	No	No	No	The state should not intervene in th	No	HSS
Female	18	Not a member	No	Yes	No	No	No	Yes	Yes	The state should have limited influe	No	I did not vote
Male	30	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	Koalicija narodnog sporazuma  Hrvats
Female	58	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Female	38	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Male	30	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	28	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	26	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Female	46	Not a member	Yes	Yes	NA	NA	NA	Yes	NA	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	31	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Male	22	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Male	25	HSP	Yes	Yes	Yes	No	Yes	Yes	No	The state should not intervene in th	No	HDZ
Male	48	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Male	37	HDZ	No	Yes	Yes	Yes	No	No	No	The state should have limited influe	No	HDZ
Male	20	Not a member	Yes	Yes	No	Yes	No	Yes	Yes	The state should not intervene in th	No	HDZ
Male	55	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	Other party:
Male	39	Not a member	No	Yes	No	No	No	No	No	NA	No	HDZ
Female	21	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	I did not vote
Male	60	Not a member	No	Yes	No	No	No	Yes	No	The state should have limited influe	No	I did not vote
Female	49	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	31	HSP	Yes	Yes	Yes	Yes	Yes	Yes	No	The state should not intervene in th	No	For the independent candidate
Male	46	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Female	58	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	53	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	HDZ
Male	52	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	36	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	Koalicija narodnog sporazuma  Hrvats
Female	35	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	47	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should not intervene in th	No	HDZ
Male	39	HKDZ	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	HDZ
Female	24	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	Yes	I did not vote
Male	20	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	Yes	I did not vote
Male	28	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should not intervene in th	No	I did not vote
NA	29	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	Yes	HDZ
Female	28	Not a member	Yes	Yes	No	No	No	Yes	Yes	The state should have strong influen	No	HDZ
Female	35	Not a member	Yes	Yes	No	No	Yes	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	19	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Female	24	Not a member	Yes	Yes	No	Yes	Yes	Yes	No	The state should not intervene in th	No	HDZ
Female	48	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	45	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	67	Not a member	Yes	Yes	No	No	No	No	Yes	The state should not intervene in th	No	HDZ
Male	73	HKDS	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	No	HDZ
Male	37	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	23	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	Yes	I did not vote
Male	50	Not a member	No	No	Yes	Yes	Yes	No	Yes	The state should not intervene in th	No	I did not vote
Female	86	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	55	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	29	HDZ	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	44	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	No	HDZ
Male	72	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	54	Not a member	No	Yes	No	No	No	Yes	Yes	The state should not intervene in th	Yes	HDZ
Male	51	HKDS	Yes	Yes	Yes	Yes	No	Yes	No	The state should have limited influe	No	HDZ
Male	47	Not a member	Yes	Yes	Yes	Yes	No	Yes	No	The state should not intervene in th	Yes	HDZ
Female	31	SDP	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Male	32	HDZ	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	36	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	47	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	29	Not a member	Yes	Yes	No	No	No	Yes	NA	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Male	34	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	33	Not a member	Yes	Yes	No	No	Yes	Yes	No	The state should not intervene in th	No	HDZ
Male	61	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Male	22	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Other party:
Male	23	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Male	24	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	I did not vote
Male	23	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Male	22	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Male	35	HDZ	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	57	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	Yes	Savez komunista Hrvatske - Stranka d
Male	26	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	Savez komunista Hrvatske - Stranka d
Male	25	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	Savez komunista Hrvatske - Stranka d
Male	25	Not a member	No	Yes	No	No	No	Yes	No	The state should have limited influe	Yes	I did not vote
Male	46	Other party:	Yes	Yes	No	No	Yes	No	No	The state should have limited influe	Yes	Savez komunista Hrvatske - Stranka d
Male	31	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Male	43	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Male	43	Not a member	Yes	Yes	No	Yes	Yes	Yes	No	The state should have limited influe	No	HDZ
Female	47	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Female	55	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Female	24	Not a member	Yes	Yes	No	No	Yes	Yes	No	The state should not intervene in th	Yes	Savez komunista Hrvatske - Stranka d
Female	52	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	52	Not a member	Yes	Yes	No	Yes	Yes	Yes	No	The state should have limited influe	No	For the independent candidate
Female	43	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	35	Not a member	Yes	Yes	No	No	No	No	Yes	The state should have strong influen	No	HDZ
Female	51	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	32	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	29	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	26	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Female	55	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Female	54	Not a member	Yes	Yes	No	No	No	Yes	Yes	The state should not intervene in th	No	Socijalisticki savez - Savez socijal
Female	20	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	No	For the independent candidate
Female	19	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	38	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	HDZ
Female	30	Not a member	Yes	Yes	No	No	No	Yes	NA	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	46	Not a member	Yes	Yes	NA	NA	NA	NA	NA	The state should not intervene in th	No	I did not vote
Male	37	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	Yes	HDZ
Male	21	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	I did not vote
Male	25	HSP	No	Yes	Yes	Yes	No	Yes	No	The state should have limited influe	Yes	HDZ
Female	22	Not a member	Yes	Yes	No	No	Yes	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	49	Not a member	Yes	No	No	No	No	Yes	No	The state should have limited influe	No	For the independent candidate
Female	19	HSP	Yes	Yes	Yes	Yes	Yes	Yes	No	The state should have limited influe	No	I did not vote
Female	53	Not a member	No	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	54	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	18	Not a member	Yes	Yes	Yes	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Male	24	Not a member	Yes	Yes	Yes	No	Yes	No	No	The state should not intervene in th	No	I did not vote
Female	28	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Male	49	HSP	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	Yes	HDZ
Male	32	HSP	Yes	No	No	Yes	No	No	No	The state should not intervene in th	No	HDZ
Female	43	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Female	37	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	44	HDZ	Yes	Yes	Yes	No	No	Yes	No	The state should have strong influen	Yes	HDZ
Female	53	HDZ	Yes	Yes	Yes	No	No	Yes	No	The state should have strong influen	Yes	HDZ
Female	31	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Female	40	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	Yes	For the independent candidate
Female	48	HDZ	Yes	Yes	Yes	Yes	No	Yes	No	The state should have limited influe	Yes	HDZ
Male	70	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	I did not vote
Female	60	HDZ	No	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	Koalicija narodnog sporazuma  Hrvats
Male	25	HSP	No	No	Yes	No	Yes	No	No	The state should not intervene in th	No	I did not vote
Male	33	HSP	No	No	Yes	No	No	No	No	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Male	37	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	For the independent candidate
Male	29	HSP	No	Yes	No	No	No	No	No	The state should not intervene in th	Yes	HDZ
Female	53	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Male	85	HSP	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Male	39	HSP	Yes	Yes	Yes	Yes	Yes	Yes	No	The state should not intervene in th	No	HDZ
Female	32	Not a member	No	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	HDZ
Female	64	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	Yes	HDZ
Female	38	HSP	Yes	No	No	No	No	No	No	The state should not intervene in th	Yes	HDZ
Male	54	HSP	Yes	No	No	No	No	No	No	The state should not intervene in th	Yes	Koalicija narodnog sporazuma  Hrvats
Female	83	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	I did not vote
Female	60	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Male	52	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	50	HSP	Yes	Yes	No	Yes	No	No	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	41	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	46	HDZ	Yes	NA	NA	NA	NA	NA	NA	The state should not intervene in th	No	HDZ
Male	48	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	40	Not a member	Yes	Yes	No	No	No	Yes	Yes	The state should not intervene in th	No	HDZ
Male	47	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	46	Not a member	Yes	NA	NA	NA	NA	NA	NA	The state should not intervene in th	No	HDZ
Male	49	Not a member	Yes	Yes	No	No	No	Yes	Yes	The state should not intervene in th	No	Other party:
Male	55	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	43	Not a member	Yes	Yes	No	No	No	Yes	NA	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Female	35	Not a member	NA	NA	NA	NA	NA	Yes	NA	The state should have limited influe	No	HDZ
Female	30	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Female	30	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	For the independent candidate
Male	39	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	87	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	29	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	34	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Male	35	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Koalicija narodnog sporazuma  Hrvats
Male	37	Not a member	Yes	Yes	No	No	No	Yes	Yes	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	31	Not a member	No	No	No	No	No	No	Yes	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Female	22	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Female	24	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	Yes	I did not vote
Female	23	Not a member	No	Yes	No	No	No	No	Yes	The state should not intervene in th	No	I did not vote
Female	22	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	NA
Male	27	Not a member	Yes	No	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Male	22	Not a member	Yes	Yes	No	No	No	No	No	The state should have strong influen	No	I did not vote
Male	21	Not a member	No	Yes	NA	NA	NA	NA	NA	The state should have limited influe	No	Koalicija narodnog sporazuma  Hrvats
Female	28	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	Yes	I did not vote
Male	69	Not a member	Yes	Yes	No	No	No	Yes	No	NA	No	For the independent candidate
Female	50	Not a member	NA	Yes	NA	NA	NA	NA	NA	The state should not intervene in th	No	HDZ
